sample_id,subsys_id,work_order_id,start_ts,end_ts,group_id,label,PIP_PDT3110*__last_location_of_minimum,PIP_TT3155*__lempel_ziv_complexity__bins_5,"PIP_TT3110*__fft_coefficient__attr_""abs""__coeff_85",PIP_TT3159*3__ratio_beyond_r_sigma__r_1,"PIP_PDT3110*__fft_coefficient__attr_""abs""__coeff_32","PIP_TT3159*3__fft_aggregated__aggtype_""kurtosis""","PIP_PT3150*1__fft_coefficient__attr_""imag""__coeff_27"
0,1A,1159969,2010-09-06 15:13:00,2010-09-07 03:13:00,0,0,0.4687933425797504,0.09986130374479887,0.10377501002565802,0.536754507628294,14.895668396463439,498.41251084421305,0.05699290188705777
1,1A,1216366,2010-11-21 21:54:00,2010-11-22 09:54:00,2,0,0.05963938973647709,0.11234396671289876,1.364239450692084,0.2871012482662968,3.8738080232781713,1072.3361130271255,-0.2805188534930861
2,1A,1216366,2010-11-30 08:19:00,2010-11-30 20:19:00,3,1,1.0,0.0651872399445215,19.10503245281432,0.0319001386962552,96.10109136593313,15.53097115652807,-7.612851623793692
3,1A,1393444,2011-10-24 12:56:00,2011-10-25 00:56:00,4,0,0.8626907073509016,0.10679611650485436,0.5892204043648983,0.24549237170596394,8.291335298699234,688.8496193718128,0.08663095138820973
4,1A,1393444,2011-11-01 10:24:00,2011-11-01 22:24:00,5,1,0.9972260748959778,0.0651872399445215,7.538771846556614,0.033287101248266296,93.65816879597368,13.969796122621096,-1.5601682640678285
5,1A,1419361,2011-12-04 05:31:00,2011-12-04 17:31:00,6,0,0.3772538141470181,0.10818307905686546,0.8486103725487153,0.4368932038834951,2.215282663058509,93.63085868827628,-0.4262122624251895
6,1A,1419361,2011-12-15 20:55:00,2011-12-16 08:55:00,7,1,0.9958391123439668,0.062413314840499313,6.863376923236053,0.02773925104022192,77.87034445578814,18.31113448615692,-21.28561797331738
7,1A,1466396,2012-03-02 06:07:00,2012-03-02 18:07:00,8,0,0.18446601941747576,0.08460471567267684,1.7641062902794158,0.11234396671289876,6.994115901810463,70.35351102412505,1.6146264691508945
8,1B,1083532,2010-03-17 14:22:00,2010-03-18 02:22:00,10,0,0.07489597780859912,0.1262135922330097,1.7657325165670872,0.29958391123439665,2.172248447053569,872.9185162875076,0.3861489013901498
9,1B,1083532,2010-03-26 21:22:00,2010-03-27 09:22:00,11,1,0.8613037447988905,0.10540915395284328,8.544438151782364,0.31622746185852985,31.701324082173034,261.5066568141748,-0.5249354589384321
10,1B,1140600,2010-07-20 15:21:00,2010-07-21 03:21:00,12,0,0.38141470180305137,0.12066574202496533,1.3155989613994998,0.3342579750346741,5.764094109189035,533.602433253694,1.1199043588832094
